application_id,family_id,applicant_name,age,gender,state,district,village,tribe,community_category,is_scheduled_tribe,years_in_forest_area,caste_certificate,id_proofs,residence_proofs,dependence_proofs,gram_sabha_resolution,family_size,dependents,land_area_requested_acres,land_type,has_previous_claim,document_completeness,document_authenticity_score,eligibility_confidence_score,fraud_risk_score,application_date,application_status,gram_sabha_date,frc_recommendation,latitude,longitude,created_timestamp,last_updated
FRA-2025-000071,FAM-BA415BDF,Anita Kumari,48,Female,Maharashtra,Dantewada,Village_14,Santhal,ST,True,16,True,Ration Card|Aadhaar,Electricity Bill,,True,6,2,2.07,Habitation,True,Community Testimony,0.978,0.932,0.167,2025-03-27,Rejected - Multiple Claims,2025-04-21,Approved,23.104971,80.477452,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000072,FAM-E176C1FC,Geeta Singh,56,Female,Odisha,Koraput,Village_51,Ho,ST,True,30,True,Voter ID|Aadhaar,Gram Sabha Cert,,True,8,3,1.74,Agricultural,False,Medical Certificate Alternative,0.714,0.504,0.043,2025-05-24,Approved,2025-06-19,Approved with Conditions,17.361939,74.66505,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000073,FAM-435C4069,Rita Gupta,43,Female,Odisha,Bastar,Village_65,Munda,ST,True,49,True,PAN|Ration Card,Gram Sabha Cert,,True,6,3,2.64,Habitation,False,Medical Certificate Alternative,0.749,0.993,0.223,2025-03-07,Under Review,2025-04-10,Rejected,17.322039,74.505882,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000074,FAM-0BD1B9FF,Rita Gupta,54,Female,Chhattisgarh,Dantewada,Village_66,Gond,OTFD,False,96,False,PAN|Aadhaar,Electricity Bill,Land Record|Medical Record,True,5,4,2.58,Water Bodies,False,Medical Certificate Alternative,0.883,0.65,0.326,2025-06-22,Under Review,2025-07-10,Approved with Conditions,23.374039,83.429215,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000075,FAM-9554C7FB,Rakesh Sharma,55,Male,Jharkhand,Dantewada,Village_74,Gond,OTFD,False,79,False,Ration Card|Aadhaar,Gram Sabha Cert,Gram Sabha Cert|Land Record,True,3,3,3.21,Grazing,False,Partial,0.613,0.974,0.044,2025-08-11,Approved,2025-09-08,Rejected,18.631133,80.523654,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000076,FAM-764DE36A,Sunita Devi,70,Female,Chhattisgarh,Dantewada,Village_27,Ho,OTFD,False,96,False,Ration Card|PAN,Electricity Bill,Medical Record|School Cert,True,3,1,2.11,Water Bodies,False,Community Testimony,0.87,0.934,0.272,2025-05-20,Pending - Gram Sabha,2025-06-19,Approved with Conditions,21.464693,76.923271,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000077,FAM-A7BFF1D7,Geeta Singh,70,Female,Chhattisgarh,Bastar,Village_41,Munda,OTFD,False,98,False,PAN|Voter ID,Ration Card,Land Record|Gram Sabha Cert,True,7,3,1.83,Grazing,False,Partial,0.716,0.644,0.286,2025-08-21,Under Review,2025-09-13,Approved,18.616544,81.001513,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000078,FAM-CD5FE6D6,Anita Kumari,31,Female,Maharashtra,Dantewada,Village_31,Gond,OTFD,False,79,False,Voter ID|PAN,Ration Card,Old Ration Card|Gram Sabha Cert,True,3,2,1.95,Grazing,False,Partial,0.602,0.775,0.372,2025-08-16,Under Review,2025-09-20,Approved with Conditions,19.283323,74.769114,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000079,FAM-5EF45FF1,Rakesh Sharma,27,Male,Chhattisgarh,Bastar,Village_23,Kondh,OTFD,False,101,False,Ration Card|Aadhaar,Gram Sabha Cert,Medical Record|Old Ration Card,True,5,2,0.53,Water Bodies,False,Community Testimony,0.714,0.995,0.217,2025-03-28,Under Review,2025-04-28,Approved,23.470511,78.298893,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000080,FAM-8A02BD55,Anita Kumari,25,Female,Andhra Pradesh,Kandhamal,Village_38,Ho,OTFD,False,119,False,Voter ID|Aadhaar,Gram Sabha Cert,Gram Sabha Cert|Voter List,True,5,1,3.39,Water Bodies,False,Medical Certificate Alternative,0.868,0.592,0.056,2025-04-01,Under Review,2025-04-24,Approved with Conditions,23.030053,86.402453,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000081,FAM-BB5DC105,Mahesh Singh,66,Male,Jharkhand,Rayagada,Village_8,Kondh,ST,True,30,True,PAN|Aadhaar,Electricity Bill,,True,6,2,2.9,Community Forest Resource,False,Community Testimony,0.747,0.61,0.383,2025-03-15,Under Review,2025-04-22,Approved with Conditions,22.615526,85.86636,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000082,FAM-62E7C507,Suresh Prasad,68,Male,Maharashtra,Koraput,Village_68,Munda,OTFD,False,109,False,PAN|Aadhaar,Gram Sabha Cert,Old Ration Card|Gram Sabha Cert,True,5,0,3.4,Water Bodies,False,Partial,0.666,0.927,0.177,2025-04-23,Pending - Gram Sabha,2025-05-26,Rejected,20.563862,74.723265,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000083,FAM-E4BAF48D,Seeta Sharma,61,Female,Odisha,Dantewada,Village_60,Santhal,ST,True,47,True,Aadhaar|Voter ID,Electricity Bill,,True,4,3,3.36,Habitation,False,Complete,0.769,0.85,0.216,2025-02-16,Approved,2025-03-04,Approved,23.151777,83.95576,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000084,FAM-F5065192,Geeta Singh,49,Female,Madhya Pradesh,Bastar,Village_49,Kondh,OTFD,False,119,False,Voter ID|PAN,Electricity Bill,Old Ration Card|School Cert,True,5,1,3.97,Grazing,False,Partial,0.934,0.878,0.391,2025-09-14,Under Review,2025-10-16,Approved,20.685002,76.016578,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000085,FAM-08DE68FD,Raman Kumar,67,Male,Madhya Pradesh,Dantewada,Village_99,Kondh,ST,True,16,True,Voter ID|Aadhaar,Ration Card,,True,8,0,2.58,Grazing,False,Complete,0.698,0.522,0.176,2025-04-25,Pending - Gram Sabha,2025-06-06,Approved,21.031167,77.760425,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000086,FAM-69C80615,Rita Gupta,63,Female,Andhra Pradesh,Kandhamal,Village_31,Santhal,OTFD,False,85,False,Voter ID|Ration Card,Electricity Bill,Medical Record|Old Ration Card,True,4,3,2.45,Water Bodies,False,Partial,0.85,0.714,0.198,2025-07-26,Under Review,2025-08-26,Approved with Conditions,18.193741,78.893982,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000087,FAM-F3915E62,Anita Kumari,39,Female,Jharkhand,Rayagada,Village_60,Kondh,OTFD,False,111,False,Ration Card|Voter ID,Gram Sabha Cert,Land Record|School Cert,True,5,4,1.86,Community Forest Resource,False,Complete,0.969,0.924,0.037,2025-04-02,Pending - Gram Sabha,2025-04-25,Rejected,17.31638,74.946196,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000088,FAM-EEB4E5C4,Ramesh Yadav,38,Male,Jharkhand,Kandhamal,Village_2,Gond,OTFD,False,88,False,Aadhaar|PAN,Electricity Bill,School Cert|Land Record,True,6,3,2.96,Grazing,False,Community Testimony,0.91,0.69,0.213,2025-05-09,Under Review,2025-06-04,Approved with Conditions,17.788866,86.75714,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000089,FAM-CEDA392A,Anita Kumari,48,Female,Jharkhand,Bastar,Village_6,Ho,ST,True,15,True,Voter ID|Aadhaar,Electricity Bill,,True,7,2,2.44,Water Bodies,False,Medical Certificate Alternative,0.718,0.598,0.092,2025-04-16,Pending - Gram Sabha,2025-05-18,Approved with Conditions,23.106885,80.352074,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000090,FAM-65DCD844,Seeta Sharma,35,Female,Andhra Pradesh,Kandhamal,Village_22,Gond,OTFD,False,110,False,Ration Card|Aadhaar,Gram Sabha Cert,Gram Sabha Cert|Old Ration Card,True,2,1,2.33,Agricultural,False,Complete,0.906,0.706,0.337,2025-02-23,Approved,2025-03-14,Rejected,20.648077,74.785852,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000091,FAM-4A7EFED2,Seeta Sharma,26,Female,Odisha,Dantewada,Village_71,Munda,OTFD,False,76,False,Aadhaar|PAN,Gram Sabha Cert,Medical Record|Land Record,True,3,4,3.92,Agricultural,False,Medical Certificate Alternative,0.922,0.955,0.043,2025-09-05,Approved,2025-09-27,Rejected,19.019346,78.607734,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000092,FAM-68D86866,Mahesh Singh,50,Male,Madhya Pradesh,Dantewada,Village_32,Gond,OTFD,False,95,False,Aadhaar|PAN,Gram Sabha Cert,Old Ration Card|Gram Sabha Cert,True,2,4,1.92,Grazing,False,Complete,0.855,0.851,0.033,2025-06-19,Under Review,2025-07-31,Approved,18.838132,85.716548,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000093,FAM-5DFC5606,Geeta Singh,27,Female,Odisha,Kandhamal,Village_70,Ho,OTFD,False,118,False,Aadhaar|Ration Card,Electricity Bill,Old Ration Card|School Cert,True,8,1,2.55,Grazing,False,Community Testimony,0.665,0.62,0.334,2025-09-11,Under Review,2025-10-08,Rejected,22.793309,80.510307,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000094,FAM-95112201,Raman Kumar,52,Male,Chhattisgarh,Koraput,Village_44,Ho,OTFD,False,115,False,Ration Card|Voter ID,Ration Card,Gram Sabha Cert|Medical Record,True,6,2,3.24,Grazing,False,Community Testimony,0.821,0.688,0.074,2025-07-03,Pending - Gram Sabha,2025-08-11,Approved,22.704868,75.066494,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000095,FAM-7F124EC4,Ramesh Yadav,45,Male,Jharkhand,Koraput,Village_12,Kondh,ST,True,20,True,Ration Card|Voter ID,Electricity Bill,,True,6,4,0.86,Agricultural,False,Medical Certificate Alternative,0.823,0.756,0.041,2025-06-18,Approved,2025-07-05,Approved with Conditions,23.909745,74.160428,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000096,FAM-E088F01A,Rakesh Sharma,40,Male,Maharashtra,Dantewada,Village_22,Munda,ST,True,11,True,Voter ID|Ration Card,Electricity Bill,,True,3,3,1.44,Habitation,True,Medical Certificate Alternative,0.71,0.65,0.313,2025-06-09,Rejected - Multiple Claims,2025-07-24,Rejected,21.93335,79.952201,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000097,FAM-AB42DE7F,Ramesh Yadav,46,Male,Maharashtra,Bastar,Village_43,Munda,ST,True,22,True,Ration Card|PAN,Gram Sabha Cert,,True,7,3,0.98,Community Forest Resource,False,Partial,0.792,0.589,0.159,2025-05-24,Under Review,2025-06-30,Rejected,23.255795,78.236521,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000098,FAM-E0536F0D,Geeta Singh,32,Female,Maharashtra,Rayagada,Village_76,Ho,ST,True,12,True,Aadhaar|PAN,Electricity Bill,,True,4,1,3.8,Habitation,False,Community Testimony,0.933,0.535,0.339,2025-08-05,Under Review,2025-09-09,Approved with Conditions,22.269304,83.298073,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000099,FAM-2F137AFA,Ramesh Yadav,63,Male,Madhya Pradesh,Dantewada,Village_52,Ho,OTFD,False,108,False,Ration Card|PAN,Ration Card,Medical Record|Land Record,True,8,3,2.58,Agricultural,False,Partial,0.863,0.678,0.259,2025-07-25,Approved,2025-08-19,Approved,17.084382,77.363599,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000100,FAM-8245D6B2,Ramesh Yadav,48,Male,Madhya Pradesh,Bastar,Village_99,Ho,ST,True,45,True,Voter ID|Ration Card,Ration Card,,True,3,4,2.19,Community Forest Resource,False,Complete,0.646,0.97,0.057,2025-06-15,Under Review,2025-07-25,Approved with Conditions,19.786402,75.269099,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000101,FAM-2CE864F5,Geeta Singh,29,Female,Jharkhand,Koraput,Village_91,Kondh,OTFD,False,77,False,PAN|Ration Card,Ration Card,Gram Sabha Cert|School Cert,True,7,3,3.75,Habitation,False,Partial,0.732,0.713,0.185,2025-03-06,Under Review,2025-04-10,Approved with Conditions,17.233538,81.98339,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000102,FAM-4F55DC39,Seeta Sharma,25,Female,Andhra Pradesh,Rayagada,Village_27,Santhal,ST,True,49,True,Aadhaar|PAN,Ration Card,,True,6,3,3.3,Water Bodies,False,Community Testimony,0.679,0.557,0.268,2025-09-21,Under Review,2025-10-16,Rejected,20.140352,75.485017,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000103,FAM-4A4FF178,Rita Gupta,36,Female,Andhra Pradesh,Kandhamal,Village_79,Ho,ST,True,6,True,Voter ID|Ration Card,Ration Card,,True,7,4,1.34,Agricultural,False,Partial,0.804,0.709,0.055,2025-07-06,Under Review,2025-08-05,Rejected,24.353288,86.099034,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000104,FAM-C42219B9,Ramesh Yadav,43,Male,Chhattisgarh,Rayagada,Village_41,Munda,ST,True,40,True,Aadhaar|Voter ID,Ration Card,,True,6,0,2.2,Habitation,False,Medical Certificate Alternative,0.764,0.746,0.284,2025-08-06,Under Review,2025-08-23,Approved,19.336719,77.573088,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000105,FAM-4ED70E83,Ramesh Yadav,61,Male,Andhra Pradesh,Bastar,Village_71,Ho,ST,True,8,True,Aadhaar|Voter ID,Gram Sabha Cert,,True,7,1,3.38,Community Forest Resource,False,Complete,0.904,0.721,0.087,2025-02-24,Under Review,2025-04-06,Approved with Conditions,23.998479,74.418995,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000106,FAM-D38532C6,Ramesh Yadav,32,Male,Chhattisgarh,Rayagada,Village_95,Ho,ST,True,45,True,PAN|Ration Card,Gram Sabha Cert,,True,3,2,2.71,Habitation,False,Partial,0.925,0.903,0.228,2025-05-20,Pending - Gram Sabha,2025-06-21,Rejected,19.341078,81.445563,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000107,FAM-9226DD07,Suresh Prasad,51,Male,Odisha,Kandhamal,Village_84,Gond,OTFD,False,120,False,Voter ID|Aadhaar,Ration Card,Gram Sabha Cert|Medical Record,True,4,2,3.4,Grazing,False,Community Testimony,0.851,0.688,0.03,2025-07-17,Approved,2025-08-24,Approved with Conditions,24.602033,78.254761,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000108,FAM-0FC3E21C,Ramesh Yadav,65,Male,Andhra Pradesh,Kandhamal,Village_9,Ho,ST,True,26,True,Voter ID|Ration Card,Ration Card,,True,7,3,2.23,Community Forest Resource,False,Community Testimony,0.819,0.565,0.341,2025-01-02,Under Review,2025-01-20,Approved,17.993897,85.149471,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000109,FAM-FF83ED89,Ramesh Yadav,37,Male,Andhra Pradesh,Rayagada,Village_84,Santhal,ST,True,11,True,PAN|Aadhaar,Gram Sabha Cert,,True,7,0,1.76,Agricultural,False,Partial,0.621,0.813,0.29,2025-07-21,Approved,2025-08-07,Approved,18.707369,75.013203,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000110,FAM-82187C75,Sunita Devi,25,Female,Andhra Pradesh,Kandhamal,Village_16,Munda,ST,True,45,True,Voter ID|Ration Card,Ration Card,,True,3,0,1.3,Agricultural,False,Complete,0.641,0.684,0.12,2025-03-21,Under Review,2025-04-26,Rejected,21.50633,81.93415,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000111,FAM-3B09BFCF,Anita Kumari,65,Female,Andhra Pradesh,Rayagada,Village_53,Ho,ST,True,44,True,Ration Card|Aadhaar,Ration Card,,True,3,4,3.64,Habitation,False,Medical Certificate Alternative,0.741,0.715,0.316,2025-05-21,Approved,2025-06-07,Rejected,21.800063,81.89871,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000112,FAM-24F22719,Mahesh Singh,38,Male,Maharashtra,Dantewada,Village_66,Gond,OTFD,False,101,False,PAN|Ration Card,Ration Card,School Cert|Voter List,True,8,4,1.85,Habitation,False,Complete,0.811,0.989,0.395,2025-03-13,Under Review,2025-04-24,Approved with Conditions,19.9233,82.878247,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000113,FAM-F48C7A21,Raman Kumar,62,Male,Odisha,Koraput,Village_34,Gond,OTFD,False,78,False,Aadhaar|Voter ID,Gram Sabha Cert,Medical Record|Land Record,True,3,1,3.18,Grazing,False,Complete,0.856,0.769,0.061,2025-05-03,Approved,2025-06-03,Rejected,19.614002,81.623683,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000114,FAM-E4C96E27,Mahesh Singh,69,Male,Madhya Pradesh,Rayagada,Village_8,Gond,OTFD,False,81,False,Ration Card|Aadhaar,Electricity Bill,Land Record|Gram Sabha Cert,True,7,2,0.69,Habitation,False,Partial,0.881,0.582,0.381,2025-09-26,Pending - Gram Sabha,2025-11-06,Approved,19.974955,83.747093,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000115,FAM-46B0921F,Raman Kumar,46,Male,Madhya Pradesh,Kandhamal,Village_68,Kondh,OTFD,False,92,False,Aadhaar|Voter ID,Electricity Bill,Land Record|Medical Record,True,6,0,0.69,Water Bodies,False,Partial,0.702,0.551,0.23,2025-02-08,Pending - Gram Sabha,2025-03-18,Approved,23.869512,74.159745,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000116,FAM-D3683C5F,Seeta Sharma,34,Female,Chhattisgarh,Koraput,Village_71,Munda,ST,True,15,True,PAN|Aadhaar,Electricity Bill,,True,6,0,3.71,Community Forest Resource,False,Complete,0.829,0.56,0.269,2025-03-08,Approved,2025-04-17,Approved with Conditions,17.551412,80.046224,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000117,FAM-FC442758,Geeta Singh,30,Female,Maharashtra,Bastar,Village_2,Santhal,ST,True,13,True,PAN|Ration Card,Electricity Bill,,True,5,0,3.09,Habitation,False,Medical Certificate Alternative,0.999,0.888,0.293,2025-04-05,Pending - Gram Sabha,2025-04-20,Approved,21.332362,82.267244,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000118,FAM-8F65D33D,Mahesh Singh,25,Male,Andhra Pradesh,Bastar,Village_95,Santhal,OTFD,False,82,False,Voter ID|PAN,Ration Card,Voter List|Gram Sabha Cert,True,2,4,3.86,Habitation,False,Complete,0.618,0.616,0.338,2025-06-15,Under Review,2025-07-23,Approved,21.043422,82.283804,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000119,FAM-CEA72D82,Ramesh Yadav,67,Male,Chhattisgarh,Rayagada,Village_38,Santhal,ST,True,21,True,Ration Card|PAN,Gram Sabha Cert,,True,5,3,1.64,Grazing,False,Complete,0.977,0.568,0.308,2025-03-04,Approved,2025-03-24,Approved with Conditions,20.2521,80.967019,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000120,FAM-3CB069E1,Ramesh Yadav,44,Male,Madhya Pradesh,Kandhamal,Village_16,Kondh,OTFD,False,86,False,PAN|Ration Card,Gram Sabha Cert,Land Record|Old Ration Card,True,2,3,1.25,Community Forest Resource,False,Partial,0.987,0.698,0.02,2025-05-27,Under Review,2025-06-16,Approved with Conditions,21.44763,81.151572,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000121,FAM-A02BA009,Suresh Prasad,32,Male,Odisha,Koraput,Village_100,Gond,ST,True,9,True,Voter ID|Ration Card,Electricity Bill,,True,2,2,2.9,Agricultural,False,Community Testimony,0.967,0.537,0.399,2025-08-26,Approved,2025-09-14,Approved,17.341571,79.992934,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000122,FAM-CDD40482,Seeta Sharma,56,Female,Odisha,Bastar,Village_88,Munda,ST,True,12,True,PAN|Aadhaar,Ration Card,,True,2,0,1.46,Grazing,False,Complete,0.846,0.808,0.259,2025-07-18,Under Review,2025-08-17,Approved with Conditions,20.064122,79.450053,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000123,FAM-99AB6DC0,Rakesh Sharma,26,Male,Madhya Pradesh,Kandhamal,Village_62,Ho,OTFD,False,107,False,PAN|Ration Card,Gram Sabha Cert,Medical Record|Voter List,True,6,1,1.45,Agricultural,False,Partial,0.612,0.905,0.112,2025-09-12,Under Review,2025-10-21,Approved,17.801075,82.539237,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000124,FAM-75E54279,Suresh Prasad,61,Male,Madhya Pradesh,Kandhamal,Village_23,Gond,ST,True,16,True,PAN|Ration Card,Gram Sabha Cert,,True,5,4,1.76,Water Bodies,True,Community Testimony,0.979,0.782,0.225,2025-04-27,Rejected - Multiple Claims,2025-06-06,Approved with Conditions,18.404454,74.493529,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000125,FAM-4ED9A37E,Raman Kumar,58,Male,Madhya Pradesh,Koraput,Village_43,Ho,ST,True,13,True,Voter ID|Ration Card,Gram Sabha Cert,,True,2,2,1.12,Community Forest Resource,True,Partial,0.835,0.959,0.31,2025-09-28,Rejected - Multiple Claims,2025-10-24,Rejected,24.535386,79.142742,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000126,FAM-4CA752CF,Geeta Singh,33,Female,Chhattisgarh,Bastar,Village_82,Munda,ST,True,42,True,PAN|Aadhaar,Gram Sabha Cert,,True,7,0,3.89,Water Bodies,False,Partial,0.866,0.907,0.151,2025-05-05,Pending - Gram Sabha,2025-05-25,Rejected,24.589585,79.090819,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000127,FAM-F26490D6,Suresh Prasad,63,Male,Jharkhand,Dantewada,Village_29,Ho,OTFD,False,82,False,Ration Card|Aadhaar,Electricity Bill,Gram Sabha Cert|Old Ration Card,True,3,1,1.33,Community Forest Resource,False,Complete,0.929,0.835,0.292,2025-08-01,Under Review,2025-08-24,Rejected,17.542358,77.336553,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000128,FAM-B3F5EFD1,Raman Kumar,49,Male,Madhya Pradesh,Bastar,Village_22,Munda,ST,True,32,True,Ration Card|Voter ID,Gram Sabha Cert,,True,2,0,1.81,Grazing,False,Partial,0.665,0.537,0.338,2025-01-11,Under Review,2025-02-03,Approved with Conditions,18.360842,78.880952,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000129,FAM-C74C3853,Mahesh Singh,63,Male,Maharashtra,Bastar,Village_91,Kondh,OTFD,False,103,False,Voter ID|PAN,Electricity Bill,School Cert|Old Ration Card,True,2,0,0.85,Habitation,False,Medical Certificate Alternative,0.879,0.861,0.292,2025-05-10,Under Review,2025-06-01,Approved with Conditions,21.574158,84.918109,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000130,FAM-DE6A1624,Sunita Devi,52,Female,Odisha,Kandhamal,Village_85,Ho,ST,True,31,True,Voter ID|Aadhaar,Ration Card,,True,6,3,1.22,Community Forest Resource,False,Medical Certificate Alternative,0.938,0.654,0.159,2025-05-03,Under Review,2025-06-07,Approved,19.968164,78.958787,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000131,FAM-5D983E11,Mahesh Singh,53,Male,Madhya Pradesh,Kandhamal,Village_29,Santhal,ST,True,37,True,Aadhaar|Ration Card,Gram Sabha Cert,,True,6,3,2.84,Agricultural,False,Medical Certificate Alternative,0.988,0.795,0.221,2025-09-14,Under Review,2025-10-29,Rejected,24.053231,80.19141,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000132,FAM-7AD21022,Rakesh Sharma,61,Male,Maharashtra,Dantewada,Village_87,Ho,ST,True,10,True,Aadhaar|Voter ID,Ration Card,,True,3,4,3.82,Habitation,False,Partial,0.65,0.712,0.395,2025-04-27,Under Review,2025-06-01,Approved with Conditions,19.557996,83.452339,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000133,FAM-39CBB085,Ramesh Yadav,60,Male,Madhya Pradesh,Dantewada,Village_42,Santhal,OTFD,False,109,False,Ration Card|Aadhaar,Gram Sabha Cert,Land Record|Gram Sabha Cert,True,2,2,2.33,Grazing,False,Partial,0.659,0.794,0.303,2025-02-19,Approved,2025-03-30,Rejected,24.041086,85.412616,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000134,FAM-CC0E197E,Rita Gupta,63,Female,Madhya Pradesh,Koraput,Village_23,Santhal,ST,True,26,True,Voter ID|PAN,Gram Sabha Cert,,True,4,2,2.88,Grazing,True,Community Testimony,0.876,0.525,0.19,2025-05-12,Rejected - Multiple Claims,2025-05-27,Approved with Conditions,19.242773,80.39105,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000135,FAM-CBC0535C,Suresh Prasad,33,Male,Jharkhand,Bastar,Village_100,Santhal,OTFD,False,93,False,Ration Card|PAN,Gram Sabha Cert,Old Ration Card|School Cert,True,8,4,2.05,Grazing,False,Community Testimony,0.928,0.758,0.064,2025-09-13,Under Review,2025-10-02,Rejected,17.231585,76.505925,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000136,FAM-D93E85D6,Suresh Prasad,27,Male,Madhya Pradesh,Koraput,Village_47,Gond,OTFD,False,93,False,PAN|Voter ID,Gram Sabha Cert,Voter List|Old Ration Card,True,4,0,2.88,Habitation,False,Medical Certificate Alternative,0.671,0.935,0.235,2025-06-06,Under Review,2025-07-17,Approved with Conditions,17.219604,74.645464,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000137,FAM-BA54912A,Suresh Prasad,66,Male,Chhattisgarh,Rayagada,Village_35,Munda,OTFD,False,108,False,Aadhaar|PAN,Ration Card,Voter List|School Cert,True,5,2,2.77,Water Bodies,False,Partial,0.701,0.903,0.122,2025-05-14,Pending - Gram Sabha,2025-06-26,Approved with Conditions,19.01599,80.067074,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000138,FAM-78E5B4C1,Rita Gupta,31,Female,Odisha,Dantewada,Village_85,Santhal,OTFD,False,111,False,PAN|Voter ID,Gram Sabha Cert,Old Ration Card|Voter List,True,8,1,0.72,Community Forest Resource,False,Community Testimony,0.704,0.856,0.357,2025-04-05,Under Review,2025-05-06,Approved,23.443439,84.430729,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000139,FAM-A2C67515,Anita Kumari,26,Female,Andhra Pradesh,Bastar,Village_38,Santhal,OTFD,False,102,False,Ration Card|Voter ID,Gram Sabha Cert,Old Ration Card|Land Record,True,8,1,2.98,Water Bodies,False,Community Testimony,0.891,0.611,0.214,2025-06-17,Under Review,2025-07-11,Rejected,24.011958,76.354766,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000140,FAM-C57E833B,Mahesh Singh,60,Male,Chhattisgarh,Kandhamal,Village_84,Kondh,ST,True,15,True,PAN|Aadhaar,Gram Sabha Cert,,True,7,4,3.55,Grazing,False,Community Testimony,0.749,0.793,0.186,2025-08-02,Approved,2025-09-13,Rejected,24.554408,74.925805,2025-09-06 06:35:24,2025-09-06 06:35:24
