application_id,family_id,applicant_name,age,gender,state,district,village,tribe,community_category,years_in_forest_area,caste_certificate,aadhaar_id,land_area_requested_acres,land_type,claim_type,document_authenticity_score,eligibility_confidence_score,fraud_risk_score,has_previous_claim,application_date,application_status,gram_sabha_date
FRA-2025-000202,FAM-C1956CB5,Raman Kumar,67,Male,Odisha,Rayagada,Chandipurtola26,Santhal,ST,19,True,8670-3957-7373,2.92,Community Forest Resource,Individual Forest Right,0.816,0.679,0.181,False,2025-09-28,Pending - Gram Sabha,2025-10-20
FRA-2025-000204,FAM-A8E5E2B2,Rita Gupta,59,Female,Madhya Pradesh,Khunti,Vikramgarhgaon137,Munda,OTFD,94,False,8603-1365-5113,1.15,Habitation,Community Forest Right,0.648,0.52,0.112,False,2025-05-01,Approved,2025-05-26
FRA-2025-000206,FAM-97BBF670,Sunita Devi,47,Female,Madhya Pradesh,Rayagada,Chandipurpada140,Oraon,ST,22,True,9824-2271-3895,3.83,Water Bodies,Individual Forest Right,0.999,0.912,0.392,True,2025-06-15,Rejected - Multiple Claims,2025-07-07
FRA-2025-000211,FAM-F3B03FDA,Ramesh Yadav,35,Male,Madhya Pradesh,Rayagada,Anandpurpada82,Bhil,OTFD,110,False,6764-6354-5680,2.87,Community Forest Resource,Other Traditional Rights,0.604,0.937,0.057,True,2025-07-18,Rejected - Multiple Claims,2025-08-19
FRA-2025-000212,FAM-8ECA66C1,Anita Kumari,47,Female,Madhya Pradesh,Bastar,Rampurgaon42,Santhal,OTFD,86,False,1861-7477-7035,1.18,Habitation,Individual Forest Right,0.827,0.527,0.3,False,2025-08-21,Pending - Gram Sabha,2025-09-22
FRA-2025-000213,FAM-9A12C419,Mahesh Singh,31,Male,Madhya Pradesh,Ranchi,Lakshmipurpada93,Warli,ST,22,True,7683-5642-6284,0.85,Water Bodies,Individual Forest Right,0.677,0.743,0.131,False,2025-03-19,Pending - Gram Sabha,2025-04-21
FRA-2025-000214,FAM-D7593D04,Seeta Sharma,35,Female,Odisha,Kandhamal,Anandpurgaon112,Munda,ST,46,True,4693-3157-7540,0.97,Community Forest Resource,Other Traditional Rights,0.785,0.679,0.122,False,2025-02-27,Approved,2025-03-22
FRA-2025-000216,FAM-37691F0C,Anita Kumari,48,Female,Tripura,Rayagada,Devgaonbasti143,Ho,OTFD,84,False,9095-3143-5263,0.82,Community Forest Resource,Individual Forest Right,0.865,0.924,0.323,False,2025-09-05,Approved,2025-10-04
FRA-2025-000217,FAM-2C9C7D6B,Ramesh Yadav,47,Male,Odisha,Rayagada,Haridaspurnagar108,Warli,ST,15,True,5213-9749-3024,1.32,Habitation,Individual Forest Right,0.917,0.694,0.367,False,2025-06-04,Approved,2025-07-11
FRA-2025-000219,FAM-A482D236,Rakesh Sharma,33,Male,Telangana,Rayagada,Anandpurbasti96,Gond,OTFD,108,False,2147-3497-4829,1.15,Community Forest Resource,Individual Forest Right,0.927,0.831,0.166,False,2025-08-22,Approved,2025-09-21
FRA-2025-000220,FAM-37797896,Ramesh Yadav,26,Male,Madhya Pradesh,Koraput,Sundarpurpada104,Santhal,ST,9,True,8391-8186-3097,0.7,Community Forest Resource,Other Traditional Rights,0.807,0.703,0.388,False,2025-05-03,Pending - Gram Sabha,2025-05-24
FRA-2025-000221,FAM-C2DE02F9,Seeta Sharma,35,Female,Madhya Pradesh,Khunti,Narsinghpurtola142,Santhal,ST,38,True,1482-4423-9905,1.09,Community Forest Resource,Other Traditional Rights,0.839,0.534,0.151,False,2025-04-17,Approved,2025-05-29
FRA-2025-000223,FAM-41E3DBA0,Rakesh Sharma,52,Male,Madhya Pradesh,Khunti,Devgaonpada25,Bhil,ST,23,True,9026-1244-5980,1.39,Habitation,Other Traditional Rights,0.634,0.799,0.217,False,2025-01-19,Approved,2025-02-19
FRA-2025-000224,FAM-B1811885,Ramesh Yadav,66,Male,Madhya Pradesh,Ranchi,Sundarpurnagar139,Bhil,ST,24,True,4282-6186-1798,2.78,Community Forest Resource,Individual Forest Right,0.814,0.782,0.245,False,2025-04-14,Under Review,2025-05-16
FRA-2025-000225,FAM-AD136474,Anita Kumari,48,Female,Telangana,Kandhamal,Rajpurpalli99,Oraon,OTFD,101,False,4986-6994-2434,2.06,Habitation,Individual Forest Right,0.803,0.893,0.32,False,2025-01-06,Pending - Gram Sabha,2025-02-02
FRA-2025-000226,FAM-8EF73812,Raman Kumar,34,Male,Telangana,Dantewada,Chandipurnagar69,Gond,OTFD,80,False,7764-7519-2790,0.78,Agricultural,Community Forest Right,0.972,0.7,0.262,False,2025-01-25,Pending - Gram Sabha,2025-03-07
FRA-2025-000227,FAM-70F67874,Seeta Sharma,25,Female,Madhya Pradesh,Khunti,Bhagwanpurpalli119,Ho,ST,13,True,5510-2961-4250,2.94,Water Bodies,Individual Forest Right,0.614,0.62,0.0,False,2025-07-12,Under Review,2025-08-17
FRA-2025-000234,FAM-378475DE,Sunita Devi,25,Female,Madhya Pradesh,Bastar,Vikramgarhnagar107,Gond,ST,21,True,9807-1445-5553,2.42,Habitation,Individual Forest Right,0.983,0.672,0.074,False,2025-06-12,Under Review,2025-07-24
FRA-2025-000237,FAM-2F06F1A0,Geeta Singh,26,Female,Tripura,Koraput,Vikramgarhbasti142,Munda,ST,37,True,8367-4487-7856,1.74,Water Bodies,Individual Forest Right,0.895,0.945,0.152,False,2025-03-28,Pending - Gram Sabha,2025-04-17
FRA-2025-000238,FAM-36F1CBD5,Seeta Sharma,65,Female,Tripura,Khunti,Nandigramtola96,Gond,OTFD,86,False,8712-2290-4347,1.61,Community Forest Resource,Community Forest Right,0.842,0.698,0.355,False,2025-09-15,Under Review,2025-10-13
FRA-2025-000240,FAM-436C1E79,Ramesh Yadav,44,Male,Madhya Pradesh,Rayagada,Rampurgaon18,Ho,OTFD,104,False,4258-9126-2553,3.43,Agricultural,Individual Forest Right,0.743,0.958,0.346,False,2025-05-18,Pending - Gram Sabha,2025-06-16
FRA-2025-000241,FAM-200F4E23,Rakesh Sharma,63,Male,Telangana,Ranchi,Devgaonpalli127,Bhil,ST,34,True,4048-8826-8832,2.19,Habitation,Community Forest Right,0.777,0.683,0.104,False,2025-09-27,Approved,2025-11-05
FRA-2025-000242,FAM-EC6B5CC8,Geeta Singh,55,Female,Odisha,Ranchi,Sonaritola93,Warli,OTFD,95,False,4763-6863-5232,2.59,Agricultural,Individual Forest Right,0.675,0.941,0.175,False,2025-07-27,Pending - Gram Sabha,2025-08-23
FRA-2025-000243,FAM-DFA81066,Ramesh Yadav,65,Male,Madhya Pradesh,Dantewada,Rampurpada112,Ho,ST,19,True,3742-5427-7851,1.16,Agricultural,Individual Forest Right,0.716,0.818,0.247,False,2025-08-07,Pending - Gram Sabha,2025-09-01
FRA-2025-000245,FAM-EEA56AE7,Sunita Devi,34,Female,Odisha,Kandhamal,Nandigrambasti45,Bhil,OTFD,80,False,8199-2263-7694,1.17,Community Forest Resource,Community Forest Right,0.931,0.561,0.307,False,2025-04-24,Under Review,2025-05-10
FRA-2025-000246,FAM-5ED485E5,Rakesh Sharma,67,Male,Madhya Pradesh,Bastar,Jagannathpurpada85,Ho,ST,21,True,5316-6245-1258,0.93,Grazing,Individual Forest Right,0.679,0.944,0.345,False,2025-04-21,Approved,2025-05-19
FRA-2025-000249,FAM-7BD6BBA5,Rita Gupta,69,Female,Telangana,Rayagada,Anandpurnagar15,Santhal,OTFD,110,False,8070-1230-5736,1.46,Water Bodies,Other Traditional Rights,0.822,0.534,0.062,False,2025-09-12,Under Review,2025-10-11
FRA-2025-000252,FAM-24C33049,Raman Kumar,38,Male,Telangana,Khunti,Sitapurpalli133,Warli,ST,41,True,6634-1457-5519,3.38,Agricultural,Community Forest Right,0.706,0.52,0.028,False,2025-09-04,Approved,2025-09-22
FRA-2025-000253,FAM-D357E40C,Anita Kumari,37,Female,Madhya Pradesh,Dantewada,Chandipurpalli11,Santhal,OTFD,111,False,9564-7756-7868,2.86,Grazing,Other Traditional Rights,0.667,0.59,0.161,False,2025-09-20,Approved,2025-10-19
FRA-2025-000258,FAM-42D10317,Mahesh Singh,58,Male,Odisha,Kandhamal,Shyampurpalli116,Santhal,OTFD,96,False,1573-2639-6292,0.68,Grazing,Other Traditional Rights,0.901,0.788,0.036,False,2025-03-05,Under Review,2025-03-30
FRA-2025-000262,FAM-4BAAC1B5,Anita Kumari,59,Female,Madhya Pradesh,Rayagada,Sitapurtola103,Ho,ST,36,True,1874-1712-9853,1.82,Water Bodies,Individual Forest Right,0.668,0.642,0.316,False,2025-08-21,Approved,2025-10-05
FRA-2025-000264,FAM-B3BC7DF2,Rita Gupta,70,Female,Odisha,Koraput,Anandpurbasti16,Ho,ST,22,True,6225-4038-5661,0.56,Community Forest Resource,Individual Forest Right,0.721,0.998,0.391,False,2025-05-13,Approved,2025-06-25
FRA-2025-000265,FAM-EF82FE75,Rakesh Sharma,42,Male,Madhya Pradesh,Rayagada,Haridaspurbasti9,Bhil,OTFD,118,False,7268-5138-9521,2.32,Water Bodies,Other Traditional Rights,0.875,0.709,0.229,False,2025-06-15,Under Review,2025-07-17
FRA-2025-000266,FAM-00E62625,Rakesh Sharma,59,Male,Madhya Pradesh,Khunti,Rajpurgaon98,Ho,ST,45,True,6809-2814-4906,3.98,Habitation,Individual Forest Right,0.826,0.579,0.027,False,2025-02-06,Pending - Gram Sabha,2025-03-03
FRA-2025-000267,FAM-DC55147E,Raman Kumar,45,Male,Tripura,Bastar,Anandpurtola5,Warli,OTFD,116,False,1921-4150-7575,0.87,Habitation,Individual Forest Right,0.994,0.808,0.242,False,2025-04-08,Pending - Gram Sabha,2025-05-14
FRA-2025-000268,FAM-4ED015C2,Ramesh Yadav,33,Male,Telangana,Ranchi,Haridaspurnagar19,Oraon,ST,12,True,8339-6963-1874,0.98,Habitation,Individual Forest Right,0.763,0.984,0.37,False,2025-04-25,Approved,2025-05-16
FRA-2025-000270,FAM-22075961,Rakesh Sharma,31,Male,Telangana,Bastar,Rajpurtola7,Munda,OTFD,109,False,7502-7461-6349,2.45,Water Bodies,Community Forest Right,0.985,0.595,0.176,False,2025-08-06,Under Review,2025-09-03
FRA-2025-000271,FAM-A8F2DE5A,Rakesh Sharma,34,Male,Telangana,Khunti,Rajpurpalli60,Warli,ST,6,True,1015-9860-3200,3.23,Water Bodies,Individual Forest Right,0.765,0.725,0.072,False,2025-04-15,Pending - Gram Sabha,2025-05-02
FRA-2025-000274,FAM-6734F20E,Rita Gupta,25,Female,Telangana,Rayagada,Ambaparapalli34,Warli,ST,30,True,7157-2318-1046,2.6,Agricultural,Individual Forest Right,0.819,0.81,0.223,False,2025-03-05,Approved,2025-03-21
FRA-2025-000284,FAM-06DE72F8,Mahesh Singh,54,Male,Odisha,Koraput,Rampurbasti68,Ho,ST,2,True,7529-1032-3305,1.2,Community Forest Resource,Individual Forest Right,0.728,0.721,0.047,False,2025-02-01,Under Review,2025-03-18
FRA-2025-000286,FAM-C53D7A75,Raman Kumar,49,Male,Odisha,Koraput,Sitapurpalli44,Bhil,OTFD,87,False,8057-8124-5897,1.66,Habitation,Community Forest Right,0.868,0.767,0.389,False,2025-03-03,Under Review,2025-04-13
FRA-2025-000289,FAM-7FD82BAE,Rita Gupta,54,Female,Tripura,Dantewada,Chandipurbasti118,Munda,OTFD,115,False,7867-5387-4364,3.91,Grazing,Individual Forest Right,0.683,0.847,0.172,False,2025-06-18,Pending - Gram Sabha,2025-07-25
FRA-2025-000291,FAM-7C574837,Suresh Prasad,33,Male,Odisha,Khunti,Rajpurpada2,Santhal,OTFD,104,False,2282-7720-2925,2.65,Grazing,Individual Forest Right,0.873,0.658,0.228,False,2025-07-23,Under Review,2025-09-05
FRA-2025-000292,FAM-D219F055,Rakesh Sharma,25,Male,Tripura,Khunti,Sitapurnagar39,Ho,ST,4,True,4726-9390-4107,0.5,Water Bodies,Community Forest Right,0.744,0.931,0.346,False,2025-07-21,Pending - Gram Sabha,2025-08-15
FRA-2025-000293,FAM-8000CE34,Seeta Sharma,52,Female,Madhya Pradesh,Ranchi,Haridaspurbasti98,Warli,OTFD,84,False,5101-1098-9646,3.44,Habitation,Individual Forest Right,0.949,0.563,0.005,False,2025-08-22,Approved,2025-09-19
FRA-2025-000294,FAM-93BBEE65,Raman Kumar,33,Male,Tripura,Khunti,Nandigrambasti109,Bhil,OTFD,115,False,6897-1629-4064,1.98,Grazing,Individual Forest Right,0.69,0.712,0.003,False,2025-04-23,Pending - Gram Sabha,2025-05-24
FRA-2025-000295,FAM-128C11B1,Sunita Devi,27,Female,Telangana,Ranchi,Bhagwanpurtola63,Gond,ST,38,True,2406-1859-2691,3.06,Water Bodies,Other Traditional Rights,0.993,0.889,0.186,True,2025-02-08,Rejected - Multiple Claims,2025-03-10
FRA-2025-000297,FAM-F9F7DE32,Rita Gupta,41,Female,Odisha,Ranchi,Vikramgarhbasti90,Santhal,OTFD,112,False,3807-1202-5194,1.5,Agricultural,Individual Forest Right,0.631,0.892,0.101,False,2025-05-01,Under Review,2025-06-08
FRA-2025-000298,FAM-9026472E,Rakesh Sharma,34,Male,Telangana,Kandhamal,Bhagwanpurgaon38,Ho,ST,45,True,2334-5291-3143,3.3,Agricultural,Individual Forest Right,0.634,0.573,0.374,False,2025-07-25,Under Review,2025-08-21
FRA-2025-000300,FAM-B9F61FEA,Geeta Singh,34,Female,Tripura,Koraput,Anandpurnagar149,Warli,OTFD,100,False,7786-7731-7263,0.84,Water Bodies,Individual Forest Right,0.982,0.716,0.367,False,2025-05-09,Under Review,2025-06-18
FRA-2025-000301,FAM-A43ED1DB,Seeta Sharma,68,Female,Madhya Pradesh,Ranchi,Jagannathpurgaon95,Munda,ST,34,True,9357-4086-8457,2.42,Agricultural,Community Forest Right,0.605,0.549,0.042,False,2025-05-09,Approved,2025-05-30
FRA-2025-000302,FAM-6962BFBF,Raman Kumar,63,Male,Madhya Pradesh,Dantewada,Devgaonnagar38,Gond,ST,46,True,3277-6221-6859,1.82,Water Bodies,Community Forest Right,0.674,0.555,0.074,False,2025-02-21,Pending - Gram Sabha,2025-03-22
FRA-2025-000304,FAM-9B145B91,Sunita Devi,34,Female,Tripura,Rayagada,Chandipurtola133,Gond,ST,29,True,6912-6718-8513,0.76,Water Bodies,Community Forest Right,0.911,0.509,0.199,False,2025-01-22,Approved,2025-02-18
FRA-2025-000305,FAM-E536EDBA,Seeta Sharma,61,Female,Odisha,Dantewada,Rampurtola10,Warli,ST,31,True,5103-2186-3634,2.39,Agricultural,Individual Forest Right,0.876,0.89,0.048,False,2025-06-22,Under Review,2025-07-16
FRA-2025-000307,FAM-9FF9A3BC,Anita Kumari,33,Female,Odisha,Rayagada,Jagannathpurnagar44,Munda,OTFD,107,False,7965-4417-5051,2.75,Grazing,Individual Forest Right,0.934,0.725,0.398,True,2025-01-11,Rejected - Multiple Claims,2025-02-20
FRA-2025-000308,FAM-5E741E8B,Sunita Devi,38,Female,Telangana,Ranchi,Basantpurpalli12,Santhal,OTFD,113,False,6443-1819-2730,3.07,Grazing,Individual Forest Right,0.788,0.959,0.018,False,2025-01-06,Approved,2025-02-10
FRA-2025-000310,FAM-EC3C8F6A,Mahesh Singh,38,Male,Odisha,Dantewada,Haridaspurpada110,Oraon,OTFD,80,False,6122-6724-1383,3.15,Habitation,Individual Forest Right,0.821,0.719,0.37,True,2025-02-26,Rejected - Multiple Claims,2025-04-09
FRA-2025-000311,FAM-DBA3B9F8,Anita Kumari,26,Female,Telangana,Koraput,Ambaparapalli85,Kondh,OTFD,87,False,5755-9174-2786,2.93,Grazing,Individual Forest Right,0.682,0.82,0.209,False,2025-01-20,Approved,2025-02-09
FRA-2025-000312,FAM-9E2B6CF7,Mahesh Singh,47,Male,Tripura,Koraput,Bhagwanpurbasti70,Munda,OTFD,88,False,9568-5069-1699,2.67,Water Bodies,Individual Forest Right,0.786,0.813,0.083,True,2025-02-26,Rejected - Multiple Claims,2025-03-17
FRA-2025-000315,FAM-D6865FD2,Anita Kumari,29,Female,Telangana,Dantewada,Bhagwanpurgaon85,Kondh,OTFD,103,False,8689-7725-6656,1.12,Community Forest Resource,Individual Forest Right,0.888,0.816,0.39,False,2025-01-23,Approved,2025-02-25
FRA-2025-000316,FAM-76E0BEE6,Raman Kumar,54,Male,Telangana,Bastar,Basantpurpada16,Oraon,ST,15,True,7049-2762-7492,2.52,Water Bodies,Other Traditional Rights,0.635,0.928,0.196,False,2025-08-27,Pending - Gram Sabha,2025-09-25
FRA-2025-000318,FAM-5FB766A7,Ramesh Yadav,56,Male,Madhya Pradesh,Koraput,Rampurbasti105,Kondh,ST,45,True,5833-6573-1012,1.75,Habitation,Individual Forest Right,0.636,0.74,0.122,False,2025-01-15,Pending - Gram Sabha,2025-02-13
FRA-2025-000319,FAM-0BBAFF64,Anita Kumari,48,Female,Telangana,Ranchi,Sundarpurpada138,Kondh,OTFD,116,False,3495-5447-4929,2.36,Community Forest Resource,Individual Forest Right,0.708,0.973,0.217,False,2025-02-20,Pending - Gram Sabha,2025-04-04
FRA-2025-000321,FAM-254C1912,Rita Gupta,69,Female,Madhya Pradesh,Khunti,Anandpurpalli30,Munda,ST,21,True,4325-2003-5061,2.88,Community Forest Resource,Individual Forest Right,0.749,0.726,0.201,False,2025-09-22,Under Review,2025-11-02
FRA-2025-000323,FAM-83655FFC,Anita Kumari,38,Female,Odisha,Kandhamal,Sitapurbasti44,Santhal,OTFD,106,False,4528-1246-6332,3.08,Agricultural,Individual Forest Right,0.625,0.936,0.093,False,2025-06-14,Pending - Gram Sabha,2025-07-17
FRA-2025-000324,FAM-91A55CAF,Seeta Sharma,62,Female,Telangana,Bastar,Sonaribasti58,Santhal,ST,20,True,1209-1159-6245,2.19,Community Forest Resource,Community Forest Right,0.619,0.677,0.182,False,2025-09-10,Approved,2025-09-30
FRA-2025-000328,FAM-B2D6C312,Mahesh Singh,37,Male,Odisha,Koraput,Devgaonnagar106,Warli,ST,44,True,5618-6441-4719,1.18,Community Forest Resource,Individual Forest Right,0.805,0.528,0.267,False,2025-07-12,Pending - Gram Sabha,2025-08-08
FRA-2025-000331,FAM-A17A34F5,Suresh Prasad,36,Male,Tripura,Kandhamal,Rampurgaon62,Warli,OTFD,78,False,4481-5804-8586,2.46,Grazing,Individual Forest Right,0.916,0.577,0.12,False,2025-08-04,Pending - Gram Sabha,2025-09-08
FRA-2025-000332,FAM-F72F76F5,Seeta Sharma,36,Female,Telangana,Ranchi,Vikramgarhgaon9,Munda,OTFD,77,False,2185-2107-4244,3.98,Agricultural,Individual Forest Right,0.745,0.74,0.174,False,2025-08-23,Pending - Gram Sabha,2025-10-03
FRA-2025-000333,FAM-D0BDDC10,Mahesh Singh,35,Male,Odisha,Rayagada,Rajpurtola132,Warli,ST,45,True,4182-8190-6202,0.69,Community Forest Resource,Individual Forest Right,0.965,0.678,0.116,False,2025-09-07,Approved,2025-10-16
FRA-2025-000337,FAM-BBD08EDB,Sunita Devi,29,Female,Odisha,Khunti,Bhagwanpurnagar5,Bhil,OTFD,78,False,8918-2855-2286,3.28,Water Bodies,Individual Forest Right,0.788,0.954,0.017,False,2025-02-26,Approved,2025-03-16
FRA-2025-000339,FAM-C10D0CD5,Rakesh Sharma,38,Male,Madhya Pradesh,Kandhamal,Jagannathpurtola51,Kondh,ST,47,True,8527-7163-9556,3.48,Grazing,Individual Forest Right,0.836,0.72,0.383,False,2025-07-14,Under Review,2025-08-04
FRA-2025-000341,FAM-9682E7AA,Geeta Singh,52,Female,Madhya Pradesh,Khunti,Haridaspurgaon13,Warli,ST,44,True,7077-5585-6181,4.0,Grazing,Individual Forest Right,0.759,0.761,0.271,False,2025-07-23,Under Review,2025-08-25
FRA-2025-000342,FAM-9C9535C1,Raman Kumar,48,Male,Madhya Pradesh,Kandhamal,Shyampurnagar32,Bhil,OTFD,83,False,1048-7515-7535,1.47,Water Bodies,Individual Forest Right,0.903,0.9,0.377,False,2025-07-16,Pending - Gram Sabha,2025-08-16
FRA-2025-000344,FAM-72CAD087,Raman Kumar,67,Male,Telangana,Khunti,Ambaparanagar70,Munda,OTFD,94,False,7915-6488-5387,1.42,Community Forest Resource,Community Forest Right,0.816,0.509,0.306,False,2025-07-15,Approved,2025-08-09
FRA-2025-000345,FAM-19DB246B,Seeta Sharma,27,Female,Odisha,Rayagada,Vikramgarhpalli129,Ho,OTFD,86,False,8229-7050-5289,1.59,Grazing,Individual Forest Right,0.644,0.838,0.264,False,2025-08-16,Pending - Gram Sabha,2025-09-17
FRA-2025-000346,FAM-F0D3A00A,Ramesh Yadav,41,Male,Telangana,Dantewada,Ambaparatola74,Oraon,OTFD,94,False,9792-7045-3968,2.57,Habitation,Community Forest Right,0.74,0.871,0.011,False,2025-07-04,Under Review,2025-08-01
FRA-2025-000347,FAM-B2E795CD,Seeta Sharma,47,Female,Odisha,Ranchi,Narsinghpurpalli111,Munda,ST,16,True,1808-3783-6315,3.54,Agricultural,Individual Forest Right,0.608,0.663,0.184,False,2025-09-14,Pending - Gram Sabha,2025-10-07
FRA-2025-000351,FAM-578440CA,Rakesh Sharma,56,Male,Madhya Pradesh,Ranchi,Chandipurpada82,Warli,ST,18,True,2323-7962-1914,2.33,Community Forest Resource,Individual Forest Right,0.696,0.873,0.306,False,2025-06-28,Under Review,2025-08-08
FRA-2025-000355,FAM-EA7E20DF,Geeta Singh,62,Female,Tripura,Khunti,Rampurpalli109,Munda,ST,28,True,4588-1569-6442,1.11,Community Forest Resource,Individual Forest Right,0.702,0.795,0.196,False,2025-06-18,Approved,2025-07-16
FRA-2025-000357,FAM-78BBFC3C,Sunita Devi,59,Female,Madhya Pradesh,Khunti,Sonaritola131,Bhil,ST,1,True,6142-4062-3029,0.82,Habitation,Individual Forest Right,0.944,0.58,0.176,False,2025-07-26,Pending - Gram Sabha,2025-08-11
FRA-2025-000358,FAM-A5E47D5E,Ramesh Yadav,55,Male,Tripura,Khunti,Shyampurnagar37,Bhil,ST,7,True,7026-6792-7014,0.73,Grazing,Individual Forest Right,0.925,0.869,0.181,True,2025-01-21,Rejected - Multiple Claims,2025-02-25
FRA-2025-000359,FAM-290DA52D,Anita Kumari,25,Female,Tripura,Rayagada,Basantpurgaon50,Ho,ST,21,True,2957-8656-8898,1.37,Habitation,Community Forest Right,0.874,0.896,0.128,False,2025-03-09,Pending - Gram Sabha,2025-03-29
FRA-2025-000361,FAM-82DE92B8,Raman Kumar,50,Male,Tripura,Dantewada,Jagannathpurnagar31,Santhal,OTFD,81,False,4086-8622-8243,0.55,Water Bodies,Individual Forest Right,0.968,0.727,0.269,False,2025-04-07,Pending - Gram Sabha,2025-05-22
FRA-2025-000362,FAM-BE878CC1,Geeta Singh,56,Female,Tripura,Rayagada,Haridaspurbasti107,Munda,OTFD,114,False,4634-6478-8824,1.96,Grazing,Community Forest Right,0.612,0.988,0.094,False,2025-06-19,Approved,2025-07-25
FRA-2025-000364,FAM-6BF5FF52,Raman Kumar,41,Male,Tripura,Kandhamal,Sitapurpalli43,Oraon,OTFD,84,False,7143-8940-3571,1.09,Grazing,Other Traditional Rights,0.951,0.566,0.127,False,2025-05-04,Approved,2025-05-29
FRA-2025-000369,FAM-E389FA66,Geeta Singh,63,Female,Odisha,Kandhamal,Basantpurpalli76,Warli,OTFD,96,False,3768-1893-8869,3.31,Community Forest Resource,Individual Forest Right,0.622,0.535,0.381,False,2025-05-06,Under Review,2025-05-28
FRA-2025-000370,FAM-AFD0AFF0,Sunita Devi,26,Female,Madhya Pradesh,Rayagada,Ambaparabasti104,Bhil,OTFD,94,False,3350-5618-9773,2.22,Grazing,Community Forest Right,0.969,0.952,0.241,False,2025-06-17,Approved,2025-07-08
FRA-2025-000371,FAM-FC5CE304,Seeta Sharma,42,Female,Tripura,Koraput,Vikramgarhgaon64,Bhil,ST,24,True,8904-1100-5122,0.83,Water Bodies,Individual Forest Right,0.785,0.612,0.274,False,2025-09-21,Under Review,2025-10-26
FRA-2025-000376,FAM-10553B2E,Suresh Prasad,52,Male,Madhya Pradesh,Koraput,Vikramgarhpada88,Warli,ST,10,True,4222-5267-9694,0.91,Habitation,Community Forest Right,0.778,0.743,0.008,False,2025-04-10,Approved,2025-05-13
FRA-2025-000377,FAM-6EB0BA55,Sunita Devi,46,Female,Odisha,Koraput,Vikramgarhtola126,Bhil,OTFD,102,False,8228-3467-8120,2.21,Grazing,Individual Forest Right,0.89,0.968,0.362,False,2025-01-17,Approved,2025-02-01
FRA-2025-000379,FAM-77CDC43D,Rita Gupta,70,Female,Telangana,Rayagada,Basantpurnagar28,Bhil,ST,27,True,2585-3235-7477,2.68,Community Forest Resource,Individual Forest Right,0.634,0.741,0.069,False,2025-02-26,Under Review,2025-03-26
FRA-2025-000380,FAM-71C3EF2A,Geeta Singh,40,Female,Madhya Pradesh,Dantewada,Sundarpurnagar104,Kondh,OTFD,98,False,9268-1190-8913,1.11,Water Bodies,Individual Forest Right,0.625,0.715,0.247,False,2025-08-09,Approved,2025-09-03
FRA-2025-000383,FAM-0E35895F,Sunita Devi,40,Female,Telangana,Kandhamal,Nandigramgaon100,Santhal,ST,6,True,3146-3051-1287,1.76,Habitation,Individual Forest Right,0.901,0.711,0.091,False,2025-07-15,Under Review,2025-08-29
FRA-2025-000387,FAM-D1F0ED10,Anita Kumari,44,Female,Tripura,Dantewada,Bhagwanpurtola50,Kondh,OTFD,99,False,3260-6670-1311,0.93,Agricultural,Individual Forest Right,0.829,0.503,0.136,False,2025-09-28,Pending - Gram Sabha,2025-11-01
FRA-2025-000389,FAM-E6E306D3,Ramesh Yadav,38,Male,Telangana,Koraput,Rampurpalli133,Bhil,ST,38,True,8091-8593-5661,2.55,Grazing,Other Traditional Rights,0.876,0.974,0.293,False,2025-03-17,Approved,2025-04-05
FRA-2025-000395,FAM-570E1DEB,Mahesh Singh,38,Male,Madhya Pradesh,Khunti,Nandigrambasti62,Warli,ST,6,True,1529-6228-1666,2.56,Grazing,Other Traditional Rights,0.609,0.719,0.166,False,2025-07-09,Under Review,2025-07-26
FRA-2025-000398,FAM-B7D3D992,Sunita Devi,51,Female,Madhya Pradesh,Koraput,Bhagwanpurgaon20,Gond,ST,16,True,3376-9142-3835,2.06,Water Bodies,Individual Forest Right,0.987,0.687,0.394,False,2025-07-18,Pending - Gram Sabha,2025-08-16
FRA-2025-000401,FAM-04932D5C,Raman Kumar,63,Male,Telangana,Koraput,Sitapurtola79,Santhal,ST,27,True,3188-7501-6539,0.78,Agricultural,Individual Forest Right,0.957,0.908,0.178,False,2025-06-13,Under Review,2025-07-03
FRA-2025-000403,FAM-08AC4381,Mahesh Singh,56,Male,Madhya Pradesh,Koraput,Vikramgarhnagar147,Bhil,OTFD,83,False,5423-2133-5319,1.1,Habitation,Individual Forest Right,0.826,0.841,0.226,True,2025-03-24,Rejected - Multiple Claims,2025-04-10
FRA-2025-000404,FAM-38916061,Rakesh Sharma,42,Male,Madhya Pradesh,Khunti,Haridaspurtola121,Kondh,ST,45,True,1201-1961-5646,0.51,Grazing,Individual Forest Right,0.977,0.526,0.376,False,2025-05-04,Under Review,2025-06-09
FRA-2025-000405,FAM-1EB45BB1,Geeta Singh,58,Female,Odisha,Ranchi,Anandpurbasti86,Kondh,ST,18,True,6412-7035-6436,1.61,Grazing,Individual Forest Right,0.633,0.786,0.01,False,2025-07-03,Pending - Gram Sabha,2025-08-16
FRA-2025-000407,FAM-E8F3C5A7,Raman Kumar,63,Male,Telangana,Khunti,Rajpurtola10,Warli,OTFD,113,False,6726-6176-9989,3.71,Grazing,Individual Forest Right,0.939,0.533,0.051,False,2025-01-10,Under Review,2025-02-13
